album_number,album_code,player_name,team_name,sticker_kind,photo_url
1,00,Panini Logo,Copa 2026,special,
2,FWC1,Official Emblem,Copa 2026,special,
3,FWC2,Official Emblem,Copa 2026,special,
4,FWC3,Official Mascots,Copa 2026,special,
5,FWC4,Official Slogan,Copa 2026,special,
6,FWC5,Official Ball,Copa 2026,special,
7,FWC6,Canada,Host Countries & Cities,special,
8,FWC7,Mexico,Host Countries & Cities,special,
9,FWC8,USA,Host Countries & Cities,special,
10,MEX1,Team Logo,Mexico,crest,
11,MEX2,Luis Malagón,Mexico,player,
12,MEX3,Johan Vasquez,Mexico,player,
13,MEX4,Jorge Sánchez,Mexico,player,
14,MEX5,Cesar Montes,Mexico,player,
15,MEX6,Jesus Gallardo,Mexico,player,
16,MEX7,Israel Reyes,Mexico,player,
17,MEX8,Diego Lainez,Mexico,player,
18,MEX9,Carlos Rodriguez,Mexico,player,
19,MEX10,Edson Alvarez,Mexico,player,
20,MEX11,Orbelin Pineda,Mexico,player,
21,MEX12,Marcel Ruiz,Mexico,player,
22,MEX13,Team Photo,Mexico,team,
23,MEX14,Érick Sánchez,Mexico,player,
24,MEX15,Hirving Lozano,Mexico,player,
25,MEX16,Santiago Giménez,Mexico,player,
26,MEX17,Raúl Jiménez,Mexico,player,
27,MEX18,Alexis Vega,Mexico,player,
28,MEX19,Roberto Alvarado,Mexico,player,
29,MEX20,Cesar Huerta,Mexico,player,
30,RSA1,Team Logo,South Africa,crest,
31,RSA2,Ronwen Williams,South Africa,player,
32,RSA3,Sipho Chaine,South Africa,player,
33,RSA4,Aubrey Modiba,South Africa,player,
34,RSA5,Samukele Kabini,South Africa,player,
35,RSA6,Mbekezeli Mbokazi,South Africa,player,
36,RSA7,Khulumani Ndamane,South Africa,player,
37,RSA8,Siyabonga Ngezana,South Africa,player,
38,RSA9,Khuliso Mudau,South Africa,player,
39,RSA10,Nkosinathi Sibisi,South Africa,player,
40,RSA11,Teboho Mokoena,South Africa,player,
41,RSA12,Thalente Mbatha,South Africa,player,
42,RSA13,Team Photo,South Africa,team,
43,RSA14,Bathasi Aubaas,South Africa,player,
44,RSA15,Yaya Sithole,South Africa,player,
45,RSA16,Sipho Mbule,South Africa,player,
46,RSA17,Lyle Foster,South Africa,player,
47,RSA18,Iqraam Rayners,South Africa,player,
48,RSA19,Mohau Nkota,South Africa,player,
49,RSA20,Oswin Appollis,South Africa,player,
50,KOR1,Team Logo,South Korea,crest,
51,KOR2,Hyeon-woo Jo,South Korea,player,
52,KOR3,Seung-Gyu Kim,South Korea,player,
53,KOR4,Min-jae Kim,South Korea,player,
54,KOR5,Yu-min Cho,South Korea,player,
55,KOR6,Young-woo Seol,South Korea,player,
56,KOR7,Han-beom Lee,South Korea,player,
57,KOR8,Tae-seok Lee,South Korea,player,
58,KOR9,Myung-jae Lee,South Korea,player,
59,KOR10,Jae-sung Lee,South Korea,player,
60,KOR11,In-beom Hwang,South Korea,player,
61,KOR12,Kang-in Lee,South Korea,player,
62,KOR13,Team Photo,South Korea,team,
63,KOR14,Seung-ho Paik,South Korea,player,
64,KOR15,Jens Castrop,South Korea,player,
65,KOR16,Dongg-yeong Lee,South Korea,player,
66,KOR17,Gue-sung Cho,South Korea,player,
67,KOR18,Heung-min Son,South Korea,player,
68,KOR19,Hee-chan Hwang,South Korea,player,
69,KOR20,Hyeon-Gyu Oh,South Korea,player,
70,CZE1,Team Logo,Czechia,crest,
71,CZE2,Matej Kovar,Czechia,player,
72,CZE3,Jindrich Stanek,Czechia,player,
73,CZE4,Ladislav Krejci,Czechia,player,
74,CZE5,Vladimir Coufal,Czechia,player,
75,CZE6,Jaroslav Zeleny,Czechia,player,
76,CZE7,Tomas Holes,Czechia,player,
77,CZE8,David Zima,Czechia,player,
78,CZE9,Michal Sadilek,Czechia,player,
79,CZE10,Lukas Provod,Czechia,player,
80,CZE11,Lukas Cerv,Czechia,player,
81,CZE12,Tomas Soucek,Czechia,player,
82,CZE13,Team Photo,Czechia,team,
83,CZE14,Pavel Sulc,Czechia,player,
84,CZE15,Matej Vydra,Czechia,player,
85,CZE16,Vasil Kusej,Czechia,player,
86,CZE17,Tomas Chory,Czechia,player,
87,CZE18,Vaclav Cerny,Czechia,player,
88,CZE19,Adam Hlozek,Czechia,player,
89,CZE20,Patrik Schick,Czechia,player,
90,CAN1,Team Logo,Canada,crest,
91,CAN2,Dayne St.Clair,Canada,player,
92,CAN3,Alphonso Davies,Canada,player,
93,CAN4,Alistair Johnston,Canada,player,
94,CAN5,Samuel Adekugbe,Canada,player,
95,CAN6,Riche Larvea,Canada,player,
96,CAN7,Derek Cornelius,Canada,player,
97,CAN8,Moïse Bombito,Canada,player,
98,CAN9,Kamal Miller,Canada,player,
99,CAN10,Stephen Eustáquio,Canada,player,
100,CAN11,Ismaël Koné,Canada,player,
101,CAN12,Jonathan Osorio,Canada,player,
102,CAN13,Team Photo,Canada,team,
103,CAN14,Jacob Shaffelburg,Canada,player,
104,CAN15,Mathieu Choinière,Canada,player,
105,CAN16,Niko Sigur,Canada,player,
106,CAN17,Tajon Buchanan,Canada,player,
107,CAN18,Liam Millar,Canada,player,
108,CAN19,Cyle Larin,Canada,player,
109,CAN20,Jonathan David,Canada,player,
110,BIH1,Team Logo,Bosnia and Herzegovina,crest,
111,BIH2,Nikola Vasilj,Bosnia and Herzegovina,player,
112,BIH3,Amer Dedic,Bosnia and Herzegovina,player,
113,BIH4,Sead Kolasinac,Bosnia and Herzegovina,player,
114,BIH5,Tarik Muharemovic,Bosnia and Herzegovina,player,
115,BIH6,Nihad Mujakic,Bosnia and Herzegovina,player,
116,BIH7,Nikola Katic,Bosnia and Herzegovina,player,
117,BIH8,Amir Hadziahmetovic,Bosnia and Herzegovina,player,
118,BIH9,Benjamin Tahirovic,Bosnia and Herzegovina,player,
119,BIH10,Armin Gigovic,Bosnia and Herzegovina,player,
120,BIH11,Ivan Sunjic,Bosnia and Herzegovina,player,
121,BIH12,Ivan Basic,Bosnia and Herzegovina,player,
122,BIH13,Team Photo,Bosnia and Herzegovina,team,
123,BIH14,Dzenis Burnic,Bosnia and Herzegovina,player,
124,BIH15,Esmir Bajraktarevic,Bosnia and Herzegovina,player,
125,BIH16,Amar Memic,Bosnia and Herzegovina,player,
126,BIH17,Ermedin Demirovic,Bosnia and Herzegovina,player,
